 Speed = (0.04, 0.03) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.03, 0.02) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.02, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.04, 0.03) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.01, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.02, 0.03) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.02) pos = (0.11, 0.00) theta = 0.01
 Speed = (0.02, 0.01) pos = (0.11, 0.00) theta = 0.00
 Speed = (0.03, 0.01) pos = (0.11, 0.00) theta = 0.00
