 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.69
 Speed = (0.00, 0.03) pos = (0.15, 0.01) theta = 1.69
 Speed = (0.00, 0.03) pos = (0.15, 0.01) theta = 1.69
 Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.69
 Speed = (0.01, 0.05) pos = (0.15, 0.02) theta = 1.69
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.69
 Speed = (0.03, 0.05) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.03, 0.04) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.02, 0.06) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.02, 0.05) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.03, 0.04) pos = (0.15, 0.02) theta = 1.70
 Speed = (0.02, 0.05) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.03, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.03, 0.05) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.03, 0.04) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.05) pos = (0.15, 0.02) theta = 1.71
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.02, 0.04) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.01, 0.04) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.01, 0.04) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.01, 0.03) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.72
 Speed = (0.00, 0.04) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.00, 0.04) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.01, 0.03) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.02, 0.03) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.02, 0.02) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.02, 0.03) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.02, 0.02) pos = (0.15, 0.02) theta = 1.73
 Speed = (0.03, 0.04) pos = (0.15, 0.03) theta = 1.73
 Speed = (0.01, 0.04) pos = (0.15, 0.03) theta = 1.73
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.05) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.03, 0.05) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.74
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.02, 0.04) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.01, 0.04) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.75
 Speed = (0.00, 0.04) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.76
