P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
